CNPJ,Fundo,Variavel,Valor,Z-Score
05754101000171,FIF CIC PREVIDENCIÁRIO MULTIMERCADO ELETROPAULO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,pl_medio,11818700492.620396,3.224801825855114
05786938000100,NOME NAO ENCONTRADO,pl_medio,14079612108.598715,3.8670875059203405
05832360000173,BB ATACADO MISTO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESP LIM,pl_medio,17263977092.4014,4.771710231878866
05943661000174,BB RENDA FIXA REFERENCIADO DI PLUS ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,pl_medio,38436025991.63236,10.786321209819539
06001785000101,NOME NAO ENCONTRADO,pl_medio,29083671695.35553,8.12947996182769
06006188000161,BB TOP DI C RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,51105264313.80661,14.385431539546
06066907000130,ITAÚ RENDA FIXA CRED PRIV MASTER ACTIVE FIX FIF RESPONSABILIDADE LIMITADA,pl_medio,14768445704.278273,4.062773153836027
06084861000181,NOME NAO ENCONTRADO,pl_medio,34740273200.2616,9.736422099132103
06175696000173,ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA,pl_medio,44024193053.59518,12.373822311740234
07096435000120,NOME NAO ENCONTRADO,pl_medio,24321020800.628796,6.776493649928377
07103364000146,NOME NAO ENCONTRADO,pl_medio,38770468947.0747,10.881330638565542
07187542000164,NOME NAO ENCONTRADO,pl_medio,12620807658.325783,3.4526665255494238
07187548000131,NOME NAO ENCONTRADO,pl_medio,41774454148.37041,11.734710604542325
07214377000192,NOME NAO ENCONTRADO,pl_medio,22597929183.728443,6.286993280628605
07408525000100,NOME NAO ENCONTRADO,pl_medio,27579913938.331875,7.702288528603367
07593967000173,NOME NAO ENCONTRADO,pl_medio,36567004747.20964,10.25536477059095
07593972000186,NOME NAO ENCONTRADO,pl_medio,204634419787.4824,58.00039522780162
07919956000130,NOME NAO ENCONTRADO,pl_medio,35581700216.646866,9.975456884757905
07966986000106,NOME NAO ENCONTRADO,pl_medio,19629556807.86235,5.4437302991630485
08196003000154,NOME NAO ENCONTRADO,pl_medio,28283929836.349518,7.90228720464154
08212681000163,NOME NAO ENCONTRADO,pl_medio,39102139245.71992,10.975552403723134
