CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,CLASSE,CLASSE,cluster,retorno_medio_diario,retorno_acumulado,volatilidade,max_drawdown,pl_medio,captacao_media,resgate_medio,cotistas_medio,fluxo_liquido_medio,sharpe
02266145000164,BB EXTRAMERCADO EXCLUSIVO FAT FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005540366614606656,0.14531289912958267,0.0004393304269574871,-0.001413666366683624,57334559217.13301,120259811.92349593,193798353.93296748,2.0,-73538542.00947155,1.2610933080541638
02290048000107,ITAUVEST RENDA FIXA CURTO PRAZO PLUS FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,,,3,0.0004607296948944916,0.1210142710597859,7.927999659697728e-05,-0.0007013908972006526,59425592.244016066,0.0,16985.391285140562,10697.55421686747,-16985.391285140562,5.811424251651115
02294024000126,BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA,FIF,,,3,-0.00019608086105231268,-0.053191756613824026,0.006998893793476506,-0.0920128787668365,109197773.77855422,190413.04212851406,258244.3751004016,6510.582329317269,-67831.33297188755,-0.028015978930138182
02367527000184,SANTANDER MASTER RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FACFIF,,,3,0.0005161926349888344,0.13653329986475282,2.549584558615485e-05,0.0,3152996073.554056,3289965.360803213,4949298.939236948,21611.81124497992,-1659333.5784337353,20.24614689654166
02430487000178,BANRISUL SUPER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO RESPONSABILIDADE LIMITADA,FIF,,,3,0.000451498555507947,0.11845284671941436,1.5171053436679707e-05,0.0,715033768.4297189,14420786.244417671,15270842.93180723,14630.180722891566,-850056.6873895582,29.760527664897648
02506721000101,BB RENDA FIXA SIMPLES SOLIDEZ DIFERENCIADO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FIFDIV,,,2,0.0005333521870643118,0.1389431944338475,0.00014163191007546407,0.0,19372486030.71363,364443879.35583675,378291279.4500408,766.9428571428572,-13847400.094204068,3.765762862197735
02513875000112,FUNDO DE INVESTIMENTO FINANCEIRO TESOURO RENDA FIXA RESPONSABILIDADE LIMITADA,FIFDIV,,,2,0.0005507440855909979,0.1444136941887031,0.00014921441514317884,0.0,40046543807.260086,398969035.78000003,484611446.0678455,1.0,-85642410.28784549,3.6909576401350424
02536364000116,SAFRA DI MASTER FIF CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA CDI RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005090086476582437,0.14378333380361963,0.0001410235470061942,0.0,6385136665.29415,42544507.057886794,41645619.63343397,37971.12452830189,898887.4244528264,3.6093876410291004
02543811000164,SANTANDER CENTRUM RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FACFIF,,,3,0.00048502734205682537,0.12778727828832825,2.3278093348918188e-05,0.0,653522335.5704819,551794.8090763052,982360.8366666666,56987.17269076305,-430566.0275903613,20.836214323342176
02887948000136,ITAÚ RENDA FIXA REFERENCIADO DI MAXIME FIF DA CIC RESP LIMITADA,FACFIF,,,3,0.0005150250432614209,0.13620439461387845,2.874840324122047e-05,0.0,1782918720.7676306,805046.5863453816,2089158.9893975905,20739.04016064257,-1284112.403052209,17.914909532191338
