CNPJ,Fundo,Variavel,Valor,Z-Score
07593967000173,NOME NAO ENCONTRADO,pl_medio,36567004747.20964,10.2554
07593972000186,NOME NAO ENCONTRADO,pl_medio,204634419787.4824,58.0004
07919956000130,NOME NAO ENCONTRADO,pl_medio,35581700216.646866,9.9755
07966986000106,NOME NAO ENCONTRADO,pl_medio,19629556807.86235,5.4437
08196003000154,NOME NAO ENCONTRADO,pl_medio,28283929836.349518,7.9023
08212681000163,NOME NAO ENCONTRADO,pl_medio,39102139245.71992,10.9756
08399811000119,NOME NAO ENCONTRADO,pl_medio,11763735622.865788,3.2092
08418151000176,NOME NAO ENCONTRADO,pl_medio,19648270466.858955,5.449
08771962000156,NOME NAO ENCONTRADO,pl_medio,32401545258.200443,9.072
08915927000163,NOME NAO ENCONTRADO,pl_medio,31119130723.018,8.7077
09093883000104,NOME NAO ENCONTRADO,pl_medio,16444041637.061928,4.5388
09215250000113,NOME NAO ENCONTRADO,pl_medio,23385051172.562286,6.5106
09468618000155,NOME NAO ENCONTRADO,pl_medio,22877339544.0651,6.3664
09589223000100,NOME NAO ENCONTRADO,pl_medio,13118048051.024817,3.5939
10264255000115,NOME NAO ENCONTRADO,pl_medio,39679988943.099434,11.1397
10322633000170,NOME NAO ENCONTRADO,pl_medio,17758045693.60538,4.9121
10551370000170,NOME NAO ENCONTRADO,pl_medio,13475217699.263014,3.6954
10583909000173,NOME NAO ENCONTRADO,pl_medio,100594321475.20403,28.4444
10583916000175,NOME NAO ENCONTRADO,pl_medio,33073763398.603397,9.263
10731794000117,NOME NAO ENCONTRADO,pl_medio,13701000305.27241,3.7595
10948577000183,NOME NAO ENCONTRADO,pl_medio,19330471095.637268,5.3588
11046645000181,NOME NAO ENCONTRADO,pl_medio,38798323820.245,10.8892
11233045000122,NOME NAO ENCONTRADO,pl_medio,21275456296.586,5.9113
11351449000110,NOME NAO ENCONTRADO,pl_medio,12968283838.7452,3.5514
11419818000160,NOME NAO ENCONTRADO,pl_medio,62728722535.89835,17.6875
12553726000130,NOME NAO ENCONTRADO,pl_medio,11733484778.730238,3.2006
12952687000144,DELTA FM&B FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,pl_medio,11771297185.512932,3.2113
13052739000199,NOME NAO ENCONTRADO,pl_medio,11822682528.193148,3.2259
13058736000162,NOME NAO ENCONTRADO,pl_medio,14360478383.00256,3.9469
13077418000149,NOME NAO ENCONTRADO,pl_medio,23090482301.028557,6.4269
13401421000176,NOME NAO ENCONTRADO,pl_medio,15465463054.27932,4.2608
14120561000139,NOME NAO ENCONTRADO,pl_medio,45822263883.82156,12.8846
14120568000150,NOME NAO ENCONTRADO,pl_medio,15992059053.197672,4.4104
14159055000153,NOME NAO ENCONTRADO,pl_medio,22286550861.184258,6.1985
14933427000157,NOME NAO ENCONTRADO,pl_medio,11361059959.325815,3.0948
15675415000132,NOME NAO ENCONTRADO,pl_medio,15037993714.711525,4.1393
15675431000125,NOME NAO ENCONTRADO,pl_medio,15350984298.726225,4.2283
15675437000100,NOME NAO ENCONTRADO,pl_medio,13463129632.615343,3.692
15831754000160,SANTOS FUNDO DE INVESTIMENTO FINANCEIRO,pl_medio,22693808978.37769,6.3142
16877448000128,NOME NAO ENCONTRADO,pl_medio,27007248700.222008,7.5396
17209712000118,NOME NAO ENCONTRADO,pl_medio,18948721079.757126,5.2503
17322725000107,NOME NAO ENCONTRADO,pl_medio,13808882888.370523,3.7902
17517380000139,NOME NAO ENCONTRADO,pl_medio,36589895386.94398,10.2619
17804952000160,NOME NAO ENCONTRADO,pl_medio,11805018017.256615,3.2209
17958866000102,NOME NAO ENCONTRADO,pl_medio,15547932452.730797,4.2842
18015618000190,NOME NAO ENCONTRADO,pl_medio,22547075836.718624,6.2725
18060364000122,NOME NAO ENCONTRADO,pl_medio,29813825115.78652,8.3369
18599004000101,NOME NAO ENCONTRADO,pl_medio,15264400065.316376,4.2037
18599388000154,NOME NAO ENCONTRADO,pl_medio,20526030984.97215,5.6984
18630011000110,NOME NAO ENCONTRADO,pl_medio,33539694728.19801,9.3954
19700409000149,NOME NAO ENCONTRADO,pl_medio,13920235496.71506,3.8218
20335522000151,NOME NAO ENCONTRADO,pl_medio,29501432692.838116,8.2482
20743601000100,NOME NAO ENCONTRADO,pl_medio,28909887864.050163,8.0801
21470947000136,NOME NAO ENCONTRADO,pl_medio,11300783337.053173,3.0777
21681273000119,CHARDONNAY FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,pl_medio,15632919023.879438,4.3084
22080558000167,NOME NAO ENCONTRADO,pl_medio,57082009395.42797,16.0833
22760051000154,NOME NAO ENCONTRADO,pl_medio,11384645103.29795,3.1015
25097027000175,NOME NAO ENCONTRADO,pl_medio,11799745322.05948,3.2194
25341064000187,NOME NAO ENCONTRADO,pl_medio,45312870574.27767,12.7399
26199519000134,NOME NAO ENCONTRADO,pl_medio,77607718233.8618,21.9143
26507128000130,NOME NAO ENCONTRADO,pl_medio,19918658382.485382,5.5259
26559284000144,NOME NAO ENCONTRADO,pl_medio,12006051718.03226,3.278
26724752000199,NOME NAO ENCONTRADO,pl_medio,21307366649.08522,5.9204
27146328000177,NOME NAO ENCONTRADO,pl_medio,83941045858.66023,23.7135
27717359000130,NOME NAO ENCONTRADO,pl_medio,20693352170.150402,5.7459
28260437000183,NOME NAO ENCONTRADO,pl_medio,20076600838.725704,5.5707
28428069000130,NOME NAO ENCONTRADO,pl_medio,65900064190.50924,18.5884
28428077000186,NOME NAO ENCONTRADO,pl_medio,63487242485.747955,17.9029
29152383000103,NOME NAO ENCONTRADO,pl_medio,20127933164.20012,5.5853
29157520000194,NOME NAO ENCONTRADO,pl_medio,13698081578.695341,3.7587
29224634000100,NOME NAO ENCONTRADO,pl_medio,70696889438.38498,19.9511
